example_id                                                | status | run_time        |
--------------------------------------------------------- | ------ | --------------- |
./spec/integration/error_reporting_spec.rb[1:1:1]         | passed | 0.01237 seconds |
./spec/integration/error_reporting_spec.rb[1:1:2]         | passed | 0.01156 seconds |
./spec/integration/error_reporting_spec.rb[1:1:3]         | passed | 0.0132 seconds  |
./spec/integration/error_reporting_spec.rb[1:1:4]         | passed | 0.01238 seconds |
./spec/integration/error_reporting_spec.rb[1:1:5]         | passed | 0.0158 seconds  |
./spec/integration/error_reporting_spec.rb[1:1:6]         | passed | 0.0126 seconds  |
./spec/integration/error_reporting_spec.rb[1:2:1]         | passed | 0.01222 seconds |
./spec/integration/full_trace_spec.rb[1:1:1]              | passed | 0.1209 seconds  |
./spec/integration/full_trace_spec.rb[1:1:2]              | passed | 0.11893 seconds |
./spec/integration/full_trace_spec.rb[1:1:3]              | passed | 0.1146 seconds  |
./spec/integration/full_trace_spec.rb[1:2:1]              | passed | 0.11328 seconds |
./spec/integration/otlp_export_spec.rb[1:1:1]             | passed | 0.0152 seconds  |
./spec/integration/otlp_export_spec.rb[1:1:2]             | passed | 0.01263 seconds |
./spec/integration/otlp_export_spec.rb[1:1:3]             | passed | 0.01479 seconds |
./spec/integration/otlp_export_spec.rb[1:1:4]             | passed | 0.0127 seconds  |
./spec/integration/otlp_export_spec.rb[1:1:5]             | passed | 0.01196 seconds |
./spec/integration/otlp_export_spec.rb[1:1:6]             | passed | 0.01387 seconds |
./spec/integration/otlp_export_spec.rb[1:2:1]             | passed | 0.01248 seconds |
./spec/unit/configuration_spec.rb[1:1:1]                  | passed | 0.00982 seconds |
./spec/unit/configuration_spec.rb[1:1:2]                  | passed | 0.01688 seconds |
./spec/unit/configuration_spec.rb[1:1:3]                  | passed | 0.01059 seconds |
./spec/unit/configuration_spec.rb[1:1:4]                  | passed | 0.0106 seconds  |
./spec/unit/configuration_spec.rb[1:1:5]                  | passed | 0.01164 seconds |
./spec/unit/configuration_spec.rb[1:1:6]                  | passed | 0.01108 seconds |
./spec/unit/configuration_spec.rb[1:2:1]                  | passed | 0.01065 seconds |
./spec/unit/configuration_spec.rb[1:2:2]                  | passed | 0.01062 seconds |
./spec/unit/configuration_spec.rb[2:1:1]                  | passed | 0.00004 seconds |
./spec/unit/configuration_spec.rb[2:2:1]                  | passed | 0.00004 seconds |
./spec/unit/configuration_spec.rb[2:2:2]                  | passed | 0.00004 seconds |
./spec/unit/configuration_spec.rb[2:2:3]                  | passed | 0.00004 seconds |
./spec/unit/configuration_spec.rb[2:3:1]                  | passed | 0.00004 seconds |
./spec/unit/configuration_spec.rb[2:3:2]                  | passed | 0.00004 seconds |
./spec/unit/configuration_spec.rb[2:4:1]                  | passed | 0.00004 seconds |
./spec/unit/configuration_spec.rb[2:4:2]                  | passed | 0.00007 seconds |
./spec/unit/configuration_spec.rb[2:4:3]                  | passed | 0.00004 seconds |
./spec/unit/configuration_spec.rb[2:5:1]                  | passed | 0.00008 seconds |
./spec/unit/configuration_spec.rb[3:1]                    | passed | 0.11412 seconds |
./spec/unit/configuration_spec.rb[3:2]                    | passed | 0.11666 seconds |
./spec/unit/context_spec.rb[1:1:1]                        | passed | 0.00009 seconds |
./spec/unit/context_spec.rb[1:1:2]                        | passed | 0.01113 seconds |
./spec/unit/context_spec.rb[1:2:1]                        | passed | 0.00033 seconds |
./spec/unit/context_spec.rb[1:2:2]                        | passed | 0.01221 seconds |
./spec/unit/context_spec.rb[1:3:1]                        | passed | 0.00004 seconds |
./spec/unit/context_spec.rb[1:3:2]                        | passed | 0.00006 seconds |
./spec/unit/context_spec.rb[1:4:1]                        | passed | 0.00042 seconds |
./spec/unit/context_spec.rb[1:4:2]                        | passed | 0.00006 seconds |
./spec/unit/context_spec.rb[1:5:1]                        | passed | 0.00006 seconds |
./spec/unit/context_spec.rb[1:6:1]                        | passed | 0.0001 seconds  |
./spec/unit/context_spec.rb[1:6:2]                        | passed | 0.00008 seconds |
./spec/unit/context_spec.rb[1:7:1]                        | passed | 0.01182 seconds |
./spec/unit/context_spec.rb[1:7:2]                        | passed | 0.01116 seconds |
./spec/unit/context_spec.rb[1:8:1]                        | passed | 0.01161 seconds |
./spec/unit/context_spec.rb[1:9:1]                        | passed | 0.00004 seconds |
./spec/unit/context_spec.rb[1:9:2]                        | passed | 0.00006 seconds |
./spec/unit/context_spec.rb[1:9:3]                        | passed | 0.00005 seconds |
./spec/unit/context_spec.rb[1:9:4]                        | passed | 0.00022 seconds |
./spec/unit/context_spec.rb[1:9:5]                        | passed | 0.00028 seconds |
./spec/unit/context_spec.rb[1:10:1]                       | passed | 0.00012 seconds |
./spec/unit/context_spec.rb[1:10:2]                       | passed | 0.00042 seconds |
./spec/unit/context_spec.rb[1:10:3]                       | passed | 0.00006 seconds |
./spec/unit/context_spec.rb[1:11:1]                       | passed | 0.02449 seconds |
./spec/unit/error_event_spec.rb[1:1:1]                    | passed | 0.01174 seconds |
./spec/unit/error_event_spec.rb[1:1:2]                    | passed | 0.01194 seconds |
./spec/unit/error_event_spec.rb[1:1:3]                    | passed | 0.01194 seconds |
./spec/unit/error_event_spec.rb[1:1:4]                    | passed | 0.01093 seconds |
./spec/unit/error_event_spec.rb[1:1:5]                    | passed | 0.01532 seconds |
./spec/unit/error_event_spec.rb[1:2:1]                    | passed | 0.01182 seconds |
./spec/unit/error_event_spec.rb[1:2:2]                    | passed | 0.01164 seconds |
./spec/unit/error_event_spec.rb[1:3:1]                    | passed | 0.01105 seconds |
./spec/unit/error_event_spec.rb[1:3:2]                    | passed | 0.0109 seconds  |
./spec/unit/error_event_spec.rb[1:4:1]                    | passed | 0.01252 seconds |
./spec/unit/error_event_spec.rb[1:4:2]                    | passed | 0.01188 seconds |
./spec/unit/error_event_spec.rb[1:4:3]                    | passed | 0.01158 seconds |
./spec/unit/error_event_spec.rb[1:4:4]                    | passed | 0.01084 seconds |
./spec/unit/error_event_spec.rb[1:4:5]                    | passed | 0.01102 seconds |
./spec/unit/error_event_spec.rb[1:5:1]                    | passed | 0.0115 seconds  |
./spec/unit/error_event_spec.rb[1:5:2]                    | passed | 0.01147 seconds |
./spec/unit/error_event_spec.rb[1:5:3]                    | passed | 0.01195 seconds |
./spec/unit/error_event_spec.rb[1:5:4]                    | passed | 0.01094 seconds |
./spec/unit/exporters/errors_spec.rb[1:1:1]               | passed | 0.01198 seconds |
./spec/unit/exporters/errors_spec.rb[1:1:2]               | passed | 0.01132 seconds |
./spec/unit/exporters/errors_spec.rb[1:1:3]               | passed | 0.01208 seconds |
./spec/unit/exporters/errors_spec.rb[1:1:4]               | passed | 0.01189 seconds |
./spec/unit/exporters/errors_spec.rb[1:1:5]               | passed | 0.01154 seconds |
./spec/unit/exporters/errors_spec.rb[1:1:6]               | passed | 0.01073 seconds |
./spec/unit/exporters/otlp_spec.rb[1:1:1]                 | passed | 0.0203 seconds  |
./spec/unit/exporters/otlp_spec.rb[1:1:2]                 | passed | 0.01394 seconds |
./spec/unit/exporters/otlp_spec.rb[1:1:3]                 | passed | 0.01261 seconds |
